codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_aids_adulto
313190,Itabirito,2021,5,2021-5-01,0
313240,Itajubá,2021,1,2021-1-01,2
313240,Itajubá,2021,2,2021-2-01,4
313240,Itajubá,2021,3,2021-3-01,0
313240,Itajubá,2021,4,2021-4-01,0
313240,Itajubá,2021,5,2021-5-01,0
313250,Itamarandiba,2021,1,2021-1-01,1
313250,Itamarandiba,2021,2,2021-2-01,2
313250,Itamarandiba,2021,3,2021-3-01,0
313250,Itamarandiba,2021,4,2021-4-01,0
313250,Itamarandiba,2021,5,2021-5-01,0
313260,Itamarati de Minas,2021,1,2021-1-01,0
313260,Itamarati de Minas,2021,2,2021-2-01,0
313260,Itamarati de Minas,2021,3,2021-3-01,1
313260,Itamarati de Minas,2021,4,2021-4-01,0
313260,Itamarati de Minas,2021,5,2021-5-01,1
313270,Itambacuri,2021,1,2021-1-01,1
313270,Itambacuri,2021,2,2021-2-01,0
313270,Itambacuri,2021,3,2021-3-01,0
313270,Itambacuri,2021,4,2021-4-01,0
313270,Itambacuri,2021,5,2021-5-01,0
313300,Itamonte,2021,1,2021-1-01,0
313300,Itamonte,2021,2,2021-2-01,1
313300,Itamonte,2021,3,2021-3-01,0
313300,Itamonte,2021,4,2021-4-01,1
313300,Itamonte,2021,5,2021-5-01,0
313310,Itanhandu,2021,1,2021-1-01,0
313310,Itanhandu,2021,2,2021-2-01,0
313310,Itanhandu,2021,3,2021-3-01,0
313310,Itanhandu,2021,4,2021-4-01,1
313310,Itanhandu,2021,5,2021-5-01,0
313330,Itaobim,2021,1,2021-1-01,0
313330,Itaobim,2021,2,2021-2-01,0
313330,Itaobim,2021,3,2021-3-01,0
313330,Itaobim,2021,4,2021-4-01,1
313330,Itaobim,2021,5,2021-5-01,0
313360,Itapeva,2021,1,2021-1-01,0
313360,Itapeva,2021,2,2021-2-01,1
313360,Itapeva,2021,3,2021-3-01,0
313360,Itapeva,2021,4,2021-4-01,1
313360,Itapeva,2021,5,2021-5-01,0
313380,Itaúna,2021,1,2021-1-01,0
313380,Itaúna,2021,2,2021-2-01,1
313380,Itaúna,2021,3,2021-3-01,1
313380,Itaúna,2021,4,2021-4-01,0
313380,Itaúna,2021,5,2021-5-01,0
313420,Ituiutaba,2021,1,2021-1-01,5
313420,Ituiutaba,2021,2,2021-2-01,2
313420,Ituiutaba,2021,3,2021-3-01,5
313420,Ituiutaba,2021,4,2021-4-01,3
313420,Ituiutaba,2021,5,2021-5-01,2
313440,Iturama,2021,1,2021-1-01,0
313440,Iturama,2021,2,2021-2-01,1
313440,Iturama,2021,3,2021-3-01,0
313440,Iturama,2021,4,2021-4-01,0
313440,Iturama,2021,5,2021-5-01,0
313460,Jaboticatubas,2021,1,2021-1-01,0
313460,Jaboticatubas,2021,2,2021-2-01,0
313460,Jaboticatubas,2021,3,2021-3-01,0
313460,Jaboticatubas,2021,4,2021-4-01,1
313460,Jaboticatubas,2021,5,2021-5-01,0
313520,Januária,2021,1,2021-1-01,2
313520,Januária,2021,2,2021-2-01,1
313520,Januária,2021,3,2021-3-01,0
313520,Januária,2021,4,2021-4-01,1
313520,Januária,2021,5,2021-5-01,0
313545,Jenipapo de Minas,2021,1,2021-1-01,0
313545,Jenipapo de Minas,2021,2,2021-2-01,0
313545,Jenipapo de Minas,2021,3,2021-3-01,0
313545,Jenipapo de Minas,2021,4,2021-4-01,1
313545,Jenipapo de Minas,2021,5,2021-5-01,0
313600,Joaíma,2021,1,2021-1-01,0
313600,Joaíma,2021,2,2021-2-01,0
313600,Joaíma,2021,3,2021-3-01,1
313600,Joaíma,2021,4,2021-4-01,0
313600,Joaíma,2021,5,2021-5-01,0
313620,João Monlevade,2021,1,2021-1-01,0
313620,João Monlevade,2021,2,2021-2-01,4
313620,João Monlevade,2021,3,2021-3-01,2
313620,João Monlevade,2021,4,2021-4-01,0
313620,João Monlevade,2021,5,2021-5-01,0
313630,João Pinheiro,2021,1,2021-1-01,0
